TITLE     = ""
VARIABLES = "Z<sub>fs</sub>  [m]"
"L<sub>uxfs</sub> [m]"
ZONE T="z<sub>0</sub> <math>;</math> 10 m (Theorie)"
 I=21, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 I=25, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 9.600000381E+000 1.086620026E+002
 1.110000038E+001 1.141269989E+002
 1.289999962E+001 1.168215027E+002
 1.469999981E+001 1.113740005E+002
 1.710000038E+001 1.399709930E+002
 1.950000000E+001 1.339369965E+002
 2.250000000E+001 1.196969986E+002
 2.610000038E+001 1.785494995E+002
 3.000000000E+001 1.315585022E+002
 3.450000000E+001 1.323845062E+002
 3.959999847E+001 1.359674988E+002
 4.559999847E+001 1.522845001E+002
 5.250000000E+001 1.793730011E+002
 6.029999924E+001 1.715820007E+002
 6.930000305E+001 2.243930054E+002
 7.980000305E+001 1.783704987E+002
 9.359999847E+001 1.815610046E+002
 1.080000000E+002 1.826365051E+002
 1.241999969E+002 2.184700012E+002
 1.428000031E+002 1.735489960E+002
 1.641000061E+002 1.587845001E+002
 1.890000000E+002 1.744490051E+002
 2.171999969E+002 1.590899963E+002
 2.498999939E+002 1.595269928E+002
 2.877000122E+002 1.151340027E+002
ZONE T="ZONE 001"
 I=25, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 9.600000381E+000 1.086620026E+002
 1.110000038E+001 1.141269989E+002
 1.289999962E+001 1.168215027E+002
 1.469999981E+001 1.113740005E+002
 1.710000038E+001 1.399709930E+002
 1.950000000E+001 1.339369965E+002
 2.250000000E+001 1.196969986E+002
 2.610000038E+001 1.571315002E+002
 3.000000000E+001 1.315585022E+002
 3.450000000E+001 1.323845062E+002
 3.959999847E+001 1.359674988E+002
 4.559999847E+001 1.522845001E+002
 5.250000000E+001 1.793730011E+002
 6.029999924E+001 1.715820007E+002
 6.930000305E+001 2.243930054E+002
 7.980000305E+001 1.783704987E+002
 9.359999847E+001 1.815610046E+002
